Union,ইউনিয়ন
Arabpur,আরবপুর
Araibaria,আরাইবাড়িয়া
Araihazar,আরাইহাজার
Araisidha,আড়াইসিধা
Aranagar,আরানগর
Aranghata,আড়ংঘাটা
Arani,আরানি
Arani Paurashava,অরণি পৌরসভা
Arankhola,আরণখোলা
Arbab,আরবাব
Aria,আরিয়া
Arial,আড়িয়াল
Arjuna,অর্জুনা
Arjunpur Boromhati,র্জুনপুর বড়মহাটি
Arjuntala,অর্জুনতলা
Arpangashia,আরপাঙ্গাশিয়া
Arpara,অরপাড়া
Arshi Nagar,আরশি নগর
Arua,আরুয়া
Asad Pur,আসাদপুর
Asekpur,আসেকপুর
Asharkandi,আশারকান্দি
Ashidron,আশিদ্রোন
Ashikati,আশিকাঠি
Ashrafpur,আশরাফপুর
Ashta Manisha,অষ্ট মানিশা
Ashtadhar,অষ্টাধর
Ashtamir Char,অষ্টমীর চর
Ashugang,আশুগাং
Ashuganj (Uttar Araisidha),আশুগঞ্জ (উত্তর আরাইসিধা)
Ashulia,আশুলিয়া
Ashwadia,অশ্বদিয়া
Asia,এশিয়া
Askarpur,আসকরপুর
Aslampur,আসলামপুর
Asma,আসমা
Assasuni,আশাশুনি
Asujia,আসুজিয়া
Atabaha,আটবহ
Ataikola,আতাইকুলা
Atapur,আটাপুর
Atbar Pur (Paschim Chandina),আটবার পুর (পশ্চিম চান্দিনা)
Atgaon,আটগাঁও
Atghar,আটঘর
Atghar Kuriana,আটঘর কুড়িয়ানা
Atgharia Paurashava,আটঘরিয়া পৌরসভা
Atharabari,আঠারবাড়ি
Atharagashia,অথরাগাশিয়া
Atharakhada,অথরাখাদা
Atia,আটিয়া
Atigram,আতিগ্রাম
Atjuri,আটজুড়ি
Atlia,আটলিয়া
Atmul,আটমুল
Atpara,আটপাড়া
Atra Gilatala,আত্রা গিলাতলা
Atulia,অতুলিয়া
Auch Para,আউচ প্যারা
Aulia Pukur,আউলিয়া পুকুর
Auliapur,আউলিয়াপুর
Auria,আউরিয়া
Auskandi,আউসকান্দি
Ausnara,আউসনারা
Austagram,অস্টগ্রাম
Autshahi,আউটশাহী
Ayla Patakata,আয়লা পাতাকাটা
Aymarasulpur,আইমারাসুলপুর
Ayubpur,আইয়ুবপুর
Azampur,আজমপুর
Azimnagar,আজিমনগর
Azimpur,আজিমপুর
Aziznagar,আজিজনগর
Babra Hachla,বাবরা হাচলা
Babuchhara,বাবুছড়া
Babukhali,বাবুখালী
Babupara,বাবুপাড়া
Babuti Para,বাবুতি পাড়া
Bachamara,বাচামাড়া
Bachor,বাছর
Badair,বাদাইর
Badalgachhi,বাদলগাছি
Badalkut,বাদলকুট
Badalpur,বাদলপুর
Badar Pasha,বদর পাশা
Badarganj,বদরগঞ্জ
Badarkhali,বদরখালি
Badarpur,বদরপুর
Badda,বাড্ডা
Badhair,বধাইর
Badhal,বাধাল
Badiakhali,বাদিয়াখালি
Badla,বাদলা
Baga,বাগা
Bagachra,বগাছড়া
Bagadana,বগাদানা
Bagali,বগালি
Bagan Bazar,বাগান বাজার
Baganbari,বাগানবাড়ি
Bagar Char,বগার চর
Bagasura,বগাসুড়া
Bagat,বগাত
Bagati Para,বাগাতি পাড়া
Bagatipara Paurashava,বাগাতিপাড়া পৌরসভা
Bagdha,বাগধা
Bagerhat Paurashava,বাগেরহাট পৌরসভা
Bagha,বাঘা
Bagha Paurashava,বাঘা পৌরসভা
Baghaba,বাঘাবা
Baghadi,বাঘাদি
Baghai Chhari,বাঘাই ছড়ি
Baghaichhari Paurashava,বাঘাইছড়ি পৌরসভা
Baghbati,বাঘবতী
Baghber,বাঘবের
Bagher Para Paurashava,বাঘের পাড়া পৌরসভা
Baghil,বাঘিল
Baghmara,বাঘমারা
Baghmara Uttar,বাঘমারা উত্তর
Baghra,বাঘড়া
Baghutia,বাঘুটিয়া
Bagia,বাগিয়া
Bagjana,বাগজানা
Bagoan,বাগোয়ান
Bagulat,বাগুলাট
Bagura,বগুড়া
Bagutia,বাগুটিয়া
Bahadurabad,বাহাদুরাবাদ
Bahadurpur,বাহাদুরপুর
Bahadursadi,বাহাদুরসাদী
Bahagili,বাহাগিলি
Bahalbaria,বাহালবাড়িয়া
Bahara,বাহারা
Baharbunia,বহরবুনিয়া
Baharchhara,বাহারছড়া
Baharpur,বহরপুর
Baheratail,বাহেরাটাইল
Bahir Char,বাহির চর
Bahirdia Mansa,বাহিরদিয়া মানসা
Bahrampur,বাহরমপুর
Bahubal,বাহুবল
Bahugram,বহুগ্রাম
Bahuli,বাহুলি
Bahuria,বাহুরিয়া
Baidyer Bazar,বইদ্যের বাজার
Baikari,বাইকারি
Bailar,বাইলার
Bailchhari,বাইলছড়ি
Bailtali,বৈলতলী
Baintala,বাইনতলা
Baira (kewatkhali),বইরা (কেওয়াটখালী)
Bairag,বৈরাগ
Bairati,বৈরাটি
Bairchuna,বৈরচুনা
Baisakanda,বৈসাকান্দা
Baisari Para,বাইসারী পাড়া
Baishari,বাইশারী
Baishgaon,বাইশগাঁও
Bajitkhila,বাজিতখিলা
Bajitpur,বাজিতপুর
Bajitpur Paurashava,বাজিতপুর পৌরসভা
Bajnaba,বাজনাব
Bajra Jogini,বজরা জোগিনী
Bajua,বাজুয়া
Bajubagha,বাজুবাঘা
Bakai,বাকাই
Bakal,বাকাল
Bakaljora,বাকলজোড়া
Bakila,বাকিলা
Baksh Mohammad,বকশ মোহাম্মদ
Bakshaganj,বক্সগঞ্জ
Bakshanagar,বক্সানগর
Bakshiganj,বকশিগঞ্জ
Bakshimail,বকশিমাইল
Baksimail,বকশিমাইল
Bakta,বক্তা
Baktaballi,বকতাবল্লি
Baktapur,বক্তাপুর
Baktarpur,বক্তারপুর
Baktiarpur,বকতিয়ারপুর
Bakua,বাকুয়া
Bakulbaria,বকুলবাড়িয়া
Bala Para,বালা পাড়া
Balaganj,বালাগঞ্জ
Balagram,বলগ্রাম
Balaibunia,বালিবুনিয়া
Balair Char,বালাইর চর
Balaishimul,বলাইশিমুল
Balara,বালাড়া
Balarampur,বলারামপুর
Balarhat,বালারহাট
Baldhara,বলধারা
Baldia,বলদিয়া
Bali Para,বালি পাড়া
Balia,বালিয়া
Balia Dighi,বালিয়া দীঘি
Baliadanga,বালিয়াডাঙ্গা
Baliakandi,বালিয়াকান্দি
Baliakhora,বালিয়খোরা
Balian,বলিয়ান
Baliardi,বালিয়ারদি
Baliatali,বালিয়াতলি
Baliati,বালিয়াটি
Balibhadra,বলিভদ্র
Balidanga,বালিডাঙ্গা
Balidia,বালিদিয়া
Baligaon,বালিগাঁও
Balighata,বালিঘাটা
Baligram,বালিগ্রাম
Balihar,বালিহার
Balijuri,বালিজুড়ি
Balikhan,বালিখান
Balipara,বলিপাড়া
Balla,বল্লা
Ballabhdi,বল্লভদী
Ballabher Khas,বল্লভের খাস
Ballamjhar,বল্লমঝর
Balli,বাল্লী
Balua,বালুয়া
Balua Masimpur,বালুয়া মাছিমপুর
Baluakandi,বালুয়াকান্দি
Balubhara,বালুভড়া
Baluhar,বালুহার
Balukhali,বালুখালি
Balur Char,বালুর চর
Bamai,বামাই
Bamandanga,বামনডাঙ্গা
Bamandi,বামান্দি
Bambu,বাম্বু
Bamna,বামনা
Bamni,বামনী
Bamo Bilchari,বামু বিলছরি
Bamrail,বামরাইল
Bamunia,বামুনিয়া
Bana,বানা
Banagram,বনগ্রাম
Banail,বনাইল
Banari Para,বানারী পাড়া
Bandaber,বন্দবেড়
Bandabilla,বান্দাবিল্লা
Bandar,বন্দর
Bandarban,বান্দারবান
Bandarban Paurashava,বান্দারবান পৌরসভা
Bandarkhola,বন্দরখোলা
Bandhabari,বান্ধাবাড়ি
Banduk Bhanga,বন্দুক ভাঙ্গা
Bandura,বন্দুরা
Baneshwar,বনেশ্বর
Baneshwardi,বনেশ্বরদী
Bangakha,বঙ্গখা
Bangal Para,বাঙ্গাল পাড়া
Bangala,বাঙালা
Bangalhalia,বাঙ্গালহালিয়া
Bangalipur,বাঙালিপুর
Bangaltali,বাঙালতলি
Bangasonahat,বাঙাসোনাহাট
Bangla Bazar,বাংলা বাজার
Banglabandha,বাংলাবান্ধা
Bangodda,বাংগাড্ডা
Bangra,বাংড়া
Baniajan,বানিয়াজান
Baniajuri,
Banibaha,বানীবহ
Banihala,বানিহালা
Banishanta,বাণীশান্ত
Banjugi Chhara,বনজুগি ছড়া
Banka,বাঁকা
Bankra,বাঁকড়া
Banpara Paurashava,বানপাড়া পৌরসভা
Banshbaria,বাঁশবাড়িয়া
Banshchara,বাঁশছড়া
Banshdaha,বানশদহ
Banshgari,বাঁশগাড়ী
Banshgram,বাঁশগ্রাম
Banshkandi,বাঁশকান্দি
Banshkhali Paurashava,বাঁশখালী পৌরসভা
Banshtail,বাঁশটাইল
Banshtali,বাঁশতলি
Banwarinagar,বনওয়ারীনগর
Baola,বাওলা
Bapta,বাপতা
Bara Alampur,বড় আলমপুর
Bara Baisdia,বড় বাইশদিয়া
Bara Bakia,বড়া বাকিয়া
Bara Baria,বড় বাড়িয়া
Bara Bazar,বড় বাজার
Bara Bhita,বড় ভিটা
Bara Bighai,বড় বিঘাই
Bara Bihanali,বড় বিহানলী
Bara Chapa,বড়া চাপা
Bara Chatul,বড় চাটুল
Bara Dargah,বড় দরগাহ
Bara Dhul,বড়া ধুল
Bara Gopalpur,বড় গোপালপুর
Bara Harina,বড় হরিনা
Bara Harishpur,বড় হরিশপুর
Bara Hazratpur,বড় হজরতপুর
Bara Jalia,বড় জালিয়া
Bara Karai (uttar Bara Karai),বড় করাই (উত্তর বড় করাই)
Bara Kharpan,বড় খারপান
Bara Kheri,বড় খেড়ি
Bara Kotha,বড়াকোঠা
Bara Krishnagar,বড় কৃষ্ণনগর
Bara Machhua,বড় মাছুয়া
Bara Maheskhali,বড় মহেশখালি
Bara Malancha,বড় মালঞ্চ
Bara Manika,বড় মানিকা
Bara Palashbari,বড় পলাশবাড়ি
Bara Pangashi,বড় পাঙ্গাশি
Bara Para,বড় পাড়া
Bara Shalghar,বড় শালঘর
Bara Shashi,বড় শশী
Bara Thakuri,বড় ঠাকুরি
Bara Uthan,বড় উঠান
Barabagi,বড়বাগি
Barabala,বড়বালা
Barabari,বড়বাড়ী
Barabaria,বড়বারিয়া
Barabhita,বারভিটা
Barabil,বড়বিল
Barabkunda,বড়বকুন্ড
Baradal,বড়দল
Baradi,বরাদি
Baragachhi,বড়গাছি
Baragaon,বড়গাঁও
Baragharia,বড়ঘরিয়া
Baraghop,বড়ঘোপ
Baragram,বড়গ্রাম
Barahal,বড়হাল
Barahar,বড়হার
Barahatia,বড়হাতিয়া
Barahit,বড়হিত
Barai Para,বড়ই পাড়া
Baraid,বারাইদ
Baraigram,বড়ইগ্রাম
Baraigram Paurashava,বড়ইগ্রাম পৌরসভা
Baraikandi,বড়াইকান্দি
Baraikhali,বরাইখালী
Barail,বরাইল
Baraitali,বরাইতলী
Baraiuri,বরাইউড়ি
Barakanda,বারাকান্দা
Barakandi,বড়কান্দি
Barakhada,বড়খাদা
Barakhain,বারাখাইন
Barakhata,বারখাতা
Barakpur,বারাকপুর
Baralia,বড়ালিয়া
Barama,বরমা
Baramchal,বরমচাল
Baranala,বারনালা
Barapara,বড়পাড়া
Barasat,বারাসাত
Barat,বারাত
Baratali Banihari,বড়তলি বানিহারি
Baratia,বড়টিয়া
Barera,বাড়েরা
Bargachha,বড়গাছা
Barguna,বরগুনা
Barhatta,বড়হাট্টা
Baria,বারিয়া
Bariadyala,বাড়িয়াদ্যালা
Baribari,বারিবারি
Barikandi,বারিকান্দি
Barisal,বরিশাল
Barishaba,বাড়িসাবা
Barkait (purba Chandina Uni),বারকাইত (পূর্ব চান্দিনা ইউনি)
Barkal,বরকল
Barkamta,বরকামতা
Barkashia Biramp,বারকাশিয়া বিরামপ
Barlekha,বারলেখা
Barlekha Paurashava,বারলেখা পৌরসভা
Barmachhari,বরমছড়ি
Barmi,বারমী
Barni,বাড়নি
Baroiar Hat Paurashava,বাড়ইয়ার হাট পৌরসভা
Barrah,বাররাহ
Barshail,বারশাইল
Barthi,বারথি
Baruakhali,বড়ুয়াখালী
Barudia,বারুদিয়া
Baruhas,বারুহাস
Barui Para,বারুই পাড়া
Baruia,বাড়ুইয়া
Barura Paurashava,বাড়ুড়া পৌরসভা
Basail,বাসাইল
Basan,বাসান
Basanda,বাসান্দা
Basantapur,বসন্তপুর
Basati,বসতি
Basikpur,বাসিকপুর
Basta,বস্তা
Basu Para,বাসু পাড়া
Basuari,বাসুয়ারি
Basudeb,বাসুদেব
Basudebpur,বসুদেবপুর
Basundia,বসুন্দিয়া
Basurhat Paurashava,বসুরহাট পৌরসভা
Bataiya,বাটাইয়া
Batajore,বাতাজোর
Batakashi (purba Silpur),বাটাকাশি (পূর্ব শিলপুর)
Batamara,বাটামারা
Batara,বাটারা
Batiaghata,বাটিয়াঘাটা
Batikamari,বাটিকামারি
Batisha,বাতিশা
Batnatali,বাটনাতলি
Battajore,বাটাজোর
Battali,বাট্টালি
Bauisena,বায়ুসেনা
Baulai,বাউলাই
Baultali,বাউলতলি
Bauphal,বাউফল
Baura,বাউড়া
Bauria,বাউরিয়া
Bausa,বাউশা
Bausha,বাউশা
Baushi,বাউশি
Bausia,বাউসিয়া
Bayaragadi,বায়ারগাদি
Bayek,বায়েক
Bayratala Dakshin,বয়রাতলা দক্ষিণ
Bayratala Uttar,বয়রাতলা উত্তর
Bazalia,বাজালিয়া
Bazra,বাজরা
Beani Bazar,বিয়ানী বাজার
Beani Bazar Paurashava,বিয়ানী বাজার পৌরসভা
Begampur,বেগমপুর
Begumganj,বেগমগঞ্জ
Begunbari,বেগুনবাড়ি
Beheli,বেহেলি
Beimar,বেইমার
Bejgaon,বেজগাঁও
Bejoybagh,বিজয়বাগ
Bekra,বেকড়া
Belabo,বেলাবো
Belai Chhari,বেলাই ছড়ি
Belaichandi,বেলাইচান্দি
Belchhari,বেলছড়ি
Belgachha,বেলগাছা
Belgachhi,বেলগাছি
Belghar,বেলঘর
Belghar Uttar,বেলঘর উত্তর
Belka,বেলকা
Belkuchi,বেলকুচি
Belkuchi Paurashava,বেলকুচি পৌরসভা
Belpukuria,বেলপুকুড়িয়া
Beltail,বেলতৈল
Bemarta,বেমারতা
Benail,বেনাইল
Benapole,বেনাপোল
Benapole Paurashava,বেনাপোল পৌরসভা
Benghari Banagram,বেনঘরি বনগ্রাম
Bera Paurashava,বেরা পৌরসভা
Beraid,বেরাইদ
Berubari,বেরুবারি
Betaga,বেতাগা
Betagair,বেতাগাইর
Betagi,বেতাগী
Betagi Sankipura,বেতাগী সানকিপুরা
Betbaria,বেতবাড়িয়া
Betbunia,বেতবুনিয়া
Betdighi,বেতদিঘী
Betgari,বেতগাড়ি
Bethuri,বেথুরি
Betila Mitara,বেতিলা মিটাড়া
Betka,বেতকা
Betkapa,বেতকাপা
Betmari Ghughurakandi,বেতমারি ঘুঘুরাকান্দি
Betmore Rajpara,বেতমোর রাজপাড়া
Bhabaniganj,ভবানীগঞ্জ
Bhabanigonj Paurashava,ভবনীগঞ্জ পৌরসভা
Bhabanipur,ভবানীপুর
Bhaber Char,ভাবের চর
Bhabicha,ভাবিচা
Bhabkhali,ভাবখালী
Bhabki,ভাবকি
Bhabrasur,ভাবারসুর
Bhadai,ভাদাই
Bhadeshwar,ভাদেশ্বর
Bhadra,ভদ্র
Bhadrabila,ভদ্রবিলা
Bhadraghat,ভদ্রঘাট
Bhadrasan,ভদ্রসান
Bhadsa,ভাদসা
Bhadur,ভাদুর
Bhaduria,ভাদুরিয়া
Bhagyakul,ভাগ্যকুল
Bhaibonchhara,ভাইবোনছড়া
Bhairab Paurashava,ভৈরব পৌরসভা
Bhaitkandi,ভাইটকান্দি
Bhakurta,ভাকুরতা
Bhalaguri,ভালাগুড়ি
Bhalain,ভালাইন
Bhaluka,ভালুকা
Bhaluka Paurashava,ভালুকা পৌরসভা
Bhalukgachhi,ভালুকগাছি
Bhandar Para,ভাণ্ডার পাড়া
Bhandara,ভান্ডারা
Bhandarbari,ভান্ডারবাড়ি
Bhandaria,ভান্ডারিয়া
Bhandarikandi,ভান্ডারিকান্দি
Bhanderkote,ভান্ডারকোট
Bhanga Paurashava,ভাঙ্গা পৌরসভা
Bhangabari,ভাঙ্গাবাড়ি
Bhangabaria,ভাঙ্গাবাড়িয়া
Bhangamon,ভাঙ্গামন
Bhangnamari,ভাঙ্গনামাড়ি
Bhangni,ভাঙ্গনি
Bhangura,ভাঙ্গুরা
Bhangura Paurashava,ভাঙ্গুরা পৌরসভা
Bhani,ভানি
Bhanor,ভানর
Bhaora,ভাওড়া
Bhar Pasha,ভার পাশা
Bhara,ভাড়া
Bhara Simla,ভাড়া শিমলা
Bharabpasha,ভাড়াবপাশা
Bharadoba,ভরাডোবা
Bharara,ভরারা
Bhararia,ভারারিয়া
Bharella,ভাড়েল্লা
Bharso,ভারসো
Bhartkhali,ভরতখালী
Bharuakhali,ভারুয়াখালি
Bhasan Char,ভাসান চর
Bhasania,ভাসানিয়া
Bhasanya Adam,ভাসান্যা আদম
Bhashanchar,ভাষানচর
Bhatara,ভাটারা
Bhatera,ভাটেরা
Bhatgaon,ভাটগাও
Bhatgram,ভাতগ্রাম
Bhati Para,ভাটি পাড়া
Bhatiari,ভাটিয়ারি
Bhatikhain,ভাটিখাইন
Bhatra,ভাটরা
Bhatsala,ভাতসালা
Bhaturia,ভাটুরিয়া
Bhawal,ভাওয়াল
Bhaya Lakshmipur,ভায়া লক্ষ্মীপুর
Bhayna,ভায়না
Bhedarganj Paurashava,ভেদারগঞ্জ পৌরসভা
Bhedaria,ভেদারিয়া
Bhelabari,ভেলাবাড়ি
Bhelu Miah,ভেলু মিয়া
Bhelua,ভেলুয়া
Bhendabari,ভেন্ডাবাড়ি
Bheola Manik Char,ভেওলা মানিক চর
Bheramara Paurashava,ভেড়ামারা পৌরসভা
Bherbheri,ভেড়ভেড়ি
Bhiail,ভিয়াইল
Bhimpur,ভিমপুর
Bhitabaria,ভিটাবাড়িয়া
Bhitarband,ভিটারবন্দ
Bhogdabari,ভোগদাবাড়ি
Bhogdanga,ভোগডাঙ্গা
Bhognagar,ভোগনগর
Bhojanpur,ভোজনপুর
Bhojanpur Debnagar,ভোজনপুর দেবনগর
Bhojeshwar,ভোজেশ্বর
Bhojgati,ভোজগতি
Bhojpatia,ভোজপাটিয়া
Bholaba,ভোলাবা
Bholahat,ভোলাহাত
Bholain (Dakshin),ভোলাইন (দক্ষিণ)
Bholain (Uttar),ভোলাইন (উত্তর)
Bholakot,ভোলাকোট
Bhomra,ভোমরা
Bhomradaha,ভোমড়াদহ
Bhopara,ভোপাড়া
Bhotemari,ভোটমারী
Bhuapur Paurashava,ভুয়াপুর পৌরসভা
Bhubankura,ভুবনকুরা
Bhujpur,ভুজপুর
Bhukshimail,ভুক্ষিমাইল
Bhulbaria,ভূলবাড়িয়া
Bhumkhara,ভূমখাড়া
Bhunabir,ভুনাবির
Bhurulia,ভুরুলিয়া
Bhurungamari,ভুরুংগামারি
Bhushan Chhara,ভূষণ ছড়া
Biaghat,বিয়াঘাট
Bibichini,বিবিচিনি
Bichhali,বিছালি
Biddyakut,বিদ্যাকুট
Bidyananda,বিদ্যানন্দ
Bidyanandakati,বিদ্যানন্দকাঠি
Bidyanandapur,বিদ্যানন্দপুর
Bihar,বিহার
Bijhari,বিঝাড়ি
Bijora,বিজোড়া
Bijoypur,বিজয়পুর
Bilasbari,বিলাসবাড়ী
Bilaspur,বিলাসপুর
Bilchalan,বিলচলন
Bildora,বিলডোরা
Bilmaria,বিলমাড়িয়া
Binajuri,বিনাজুড়ি
Binauti,বিনাউতি
Binnati,বিন্নাতি
Binodepur,বিনোদপুর
Binodnagar,বিনোদনগর
Binodpur,বিনোদপুর
Binoykati,বিনয়কাটি
Binyabaid,বিন্নাবাইদ
Bipra Belgharia,বিপ্র বেলঘড়িয়া
Bipulasar,বিপুলসার
Bir Basunda,বীর বাসুন্দা
Bir Kedar,বীর কেদার
Birail Palita,বিরাইল পালিতা
Biral,বিরল
Biralia,বিরলিয়া
Birasree,বিরাশ্রী
Birgaon,বীরগাঁও
Birhati,বিরহাটি
Birisiri,বিরিশিরি
Birtara,বিরতারা
Birunia,বিরুনিয়া
Bisarkandi,বিসরকান্দি
Bisha,বিশা
Bishalpur,বিশালপুর
Bishka,বিশ্কা
Bishkakuni,বিশকাকুনি
Bishnandi,বিষ্ণান্দি
Bishnupur,বিষ্ণুপুর
Bishwanath,বিশ্বনাথ
Bitara,বিটারা
Biteshwar,বিটেশ্বর
Bitghar (tiara),বিটঘর (টিয়ারা)
Bitikandi,বিটিকান্দি
Boaldar,বোয়ালদার
Boali,বোয়ালি
Boalia,বোয়ালিয়া
Boaljur Bazar,বোয়ালজুর বাজার
Boalkhali,বোয়ালখালী
Boalmari,বোয়ালমারী
Boalmari Paurashava,বোয়ালমারী পৌরসভা
Boda,বোদা
Bogachatar,বগাচাতার
Bogra Paurashava,বগুড়া পৌরসভা
Bohail,বোহাইল
Bokainagar,বোকাইনগর
Bolakot,বোলাকোট
Boldia,বলদিয়া
Bonar Para,বোনার পাড়া
Boragari,বোড়াগাড়ি
Boranal Eliasabad,বড়নাল ইলিয়াসাবাদ
Borar Char,বোরর চর
Borasi,বোরাসি
Bothlagari,বথলাগাড়ি
Bougla Bazar,বৌগলা বাজার
Boyra,বয়রা
Brahma Rajpur,ব্রহ্ম রাজপুর
Brahmagachha,ব্রাহ্মগাছা
Brahman Bazar,ব্রাহ্মণ বাজার
Brahman Para,ব্রাহ্মণ পাড়া
Brahmanbaria Paurashava,ব্রাহ্মণবাড়িয়া পৌরসভা
Brahmandi,ব্রাহ্মণ্দি
Brahmapur,ব্রহ্মপুর
Bri-lahiribari,ব্রি-লাহিরিবাড়ি
Budbari Bazar,বুড়বাড়ি বাজার
Budhal,বুধাল
Budhanti,বুধান্তি
Budhhata,বুদ্ধাটা
Bukabunia,বুকাবুনিয়া
Bulakipur,বুলাকিপুর
Bulla,বুল্লা
Bulta,বুলতা
Bunagati,বুনাগতী
Bura Mazumdar,বুড়া মজুমদার
Buraburi,বুড়াবুড়ি
Buraich,বুড়াইচ
Burail,বুরাইল
Buri Goalini,বুড়ি গোয়ালিনী
Burichang,বুরিচং
Buriganj,বুড়িগঞ্জ
Burighat,বুড়িঘাট
Burimari,বুড়িমাড়ি
Buripota,বুড়িপোতা
Burir Char,বুড়িরচর
Burirdanga,বুড়িডাঙ্গা
Burishwar,বুড়িশ্বর
Burumchhara,বুড়ুমছড়া
Burunga,বুরুঙ্গা
Chaitrakul,চৈত্রকুল
Chak Barkat,চক বরকত
Chak Kirti,চক কির্তি
Chak Mirpur,চক মিরপুর
Chak Radha,চক রাধা
Chakamaiya,চাকামাইয়া
Chakaria Paurashava,চাকরিয়া পৌরসভা
Chakhar,চাকহার
Chakirpashar,চাকিরপাশার
Chakla,চাকলা
Chaklarhat,চাকলারহাট
Chakmarkul,চাকমারকুল
Chakua,চাকুয়া
Chala,চালা
Chalak Char,চালাক চর
Chalbala,চলবলা
Chalibhanga,চালিভাঙ্গা
Chalishia,চালিশিয়া
Chalitabunia,চালিতাবুনিয়া
Chalitadanga,চালিতাডাঙ্গা
Challisha,চল্লিশা
Chalna Paurashava,চালনা পৌরসভা
Chaluabari,চালুয়াবাড়ি
Chaluahati,চালুয়াহাটি
Chamardani,চামারদানি
Chamari,চামারি
Chambal,চাম্বল
Champaknagar,চম্পকনগর
Champaphul,চম্পাফুল
