Division,District,Upazila,Depth,Arsenic,Union
Chittagong,Lakshmipur,Roypur,235,0,Char Mohana
Chittagong,Lakshmipur,Roypur,251,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,236,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,250,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,252,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,260,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,238,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,264,0,Char Mohana
Chittagong,Lakshmipur,Roypur,258,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,244,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,267,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,265,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,263,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,247,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,245,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,246,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,253,0,Char Mohana
Chittagong,Lakshmipur,Roypur,247,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,260,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,245,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,243,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,280,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,250,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,259,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,245,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,244,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,247,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,220,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,245,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,277,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,255,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,226,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,250,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,233,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,262,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,251,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,236,0,Char Mohana
Chittagong,Lakshmipur,Roypur,241,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,242,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,244,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,250,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,252,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,246,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,244,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,262,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,219,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,258,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,265,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,258,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,245,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,261,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,265,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,273,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,220,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,264,0,South Char Bangshi Union
Chittagong,Lakshmipur,Roypur,188,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,223,0,North Char Bangshi
Chittagong,Lakshmipur,Roypur,230,0,Char Pata
Chittagong,Lakshmipur,Roypur,229,0,Char Pata
Chittagong,Lakshmipur,Roypur,220,0,Char Pata
Chittagong,Lakshmipur,Roypur,248,0,Char Pata
Chittagong,Lakshmipur,Roypur,239,0,Char Pata
Chittagong,Lakshmipur,Roypur,240,0,Char Pata
Chittagong,Lakshmipur,Roypur,257,0,Char Pata
Chittagong,Lakshmipur,Roypur,256,0,Char Pata
Chittagong,Lakshmipur,Roypur,225,0,Char Pata
Chittagong,Lakshmipur,Roypur,259,0,Char Pata
Chittagong,Lakshmipur,Roypur,234,0,Char Pata
Chittagong,Lakshmipur,Roypur,243,0,Keroa
Chittagong,Lakshmipur,Roypur,236,0,Char Pata
Chittagong,Lakshmipur,Roypur,248,0,Char Pata
Chittagong,Lakshmipur,Roypur,241,0,Char Pata
Chittagong,Lakshmipur,Roypur,253,0,Char Pata
Chittagong,Lakshmipur,Roypur,237,0,Char Pata
Chittagong,Lakshmipur,Roypur,235,0,Char Pata
Chittagong,Lakshmipur,Roypur,220,0,Char Pata
Chittagong,Lakshmipur,Roypur,244,0,Char Pata
Chittagong,Lakshmipur,Roypur,256,0,Char Pata
Chittagong,Lakshmipur,Roypur,234,0,Char Pata
Chittagong,Lakshmipur,Roypur,244,0,Royipur
Chittagong,Lakshmipur,Roypur,239,0,Char Pata
Chittagong,Lakshmipur,Roypur,253,0,Char Pata
Chittagong,Lakshmipur,Roypur,239,0,Char Pata
Chittagong,Lakshmipur,Roypur,245,0,Char Pata
Chittagong,Lakshmipur,Roypur,250,0,Char Pata
Chittagong,Lakshmipur,Roypur,267,0,Char Pata
Chittagong,Lakshmipur,Roypur,256,0,Char Pata
Chittagong,Lakshmipur,Roypur,238,0,Char Pata
Chittagong,Lakshmipur,Roypur,252,0,Char Pata
Chittagong,Lakshmipur,Roypur,221,0,Char Pata
Chittagong,Lakshmipur,Roypur,228,0,Royipur
Chittagong,Lakshmipur,Roypur,225,0,Royipur
Chittagong,Lakshmipur,Roypur,216,0,Royipur
Chittagong,Lakshmipur,Roypur,246,0,Royipur
Chittagong,Lakshmipur,Roypur,251,0,Royipur
Chittagong,Lakshmipur,Roypur,241,0,Royipur
Chittagong,Lakshmipur,Roypur,224,0,Royipur
Chittagong,Lakshmipur,Roypur,217,0,Royipur
Chittagong,Lakshmipur,Roypur,217,0,Royipur
Chittagong,Lakshmipur,Roypur,218,0,Royipur
Chittagong,Lakshmipur,Roypur,249,0,Royipur
Chittagong,Lakshmipur,Roypur,222,0,Keroa
Chittagong,Lakshmipur,Roypur,237,0,Char Pata
Chittagong,Lakshmipur,Roypur,236,0,Keroa
Chittagong,Lakshmipur,Roypur,223,0,Keroa
Chittagong,Lakshmipur,Roypur,253,0,Keroa
Chittagong,Lakshmipur,Roypur,247,0,Keroa
Chittagong,Lakshmipur,Roypur,246,0,Keroa
Chittagong,Lakshmipur,Roypur,223,0,Keroa
Chittagong,Chandpur,Faridganj,228,0,Dakshin Rupsa
Chittagong,Lakshmipur,Roypur,257,0,Keroa
Chittagong,Lakshmipur,Roypur,234,0,Keroa
Chittagong,Lakshmipur,Roypur,246,0,Keroa
Chittagong,Lakshmipur,Roypur,238,0,Keroa
Chittagong,Lakshmipur,Roypur,272,0,Keroa
Chittagong,Lakshmipur,Roypur,287,0,Keroa
Chittagong,Lakshmipur,Roypur,236,0,Keroa
Chittagong,Lakshmipur,Roypur,228,0,Keroa
Chittagong,Lakshmipur,Roypur,235,0,Keroa
Chittagong,Lakshmipur,Roypur,263,0,Keroa
Chittagong,Lakshmipur,Roypur,263,0,Keroa
Chittagong,Lakshmipur,Roypur,229,0,Keroa
Chittagong,Lakshmipur,Roypur,222,0,Keroa
Chittagong,Lakshmipur,Roypur,229,0,Bamni
Chittagong,Lakshmipur,Roypur,231,0,Keroa
Chittagong,Lakshmipur,Roypur,238,0,Keroa
Chittagong,Lakshmipur,Roypur,248,0,Keroa
Chittagong,Lakshmipur,Roypur,231,0,Keroa
Chittagong,Lakshmipur,Roypur,223,0,Keroa
Chittagong,Lakshmipur,Roypur,228,0,Keroa
Chittagong,Lakshmipur,Roypur,225,0,Keroa
Chittagong,Lakshmipur,Roypur,234,0,Keroa
Chittagong,Lakshmipur,Roypur,222,0,Keroa
Chittagong,Lakshmipur,Roypur,228,0,Keroa
Chittagong,Lakshmipur,Roypur,223,0,Keroa
Chittagong,Lakshmipur,Roypur,247,0,Keroa
Chittagong,Lakshmipur,Roypur,227,0,Keroa
Chittagong,Lakshmipur,Roypur,239,0,Keroa
Chittagong,Lakshmipur,Roypur,218,0,Keroa
Chittagong,Lakshmipur,Roypur,233,0,Char Pata
Chittagong,Lakshmipur,Roypur,236,0,Keroa
Chittagong,Lakshmipur,Roypur,242,0,Keroa
Chittagong,Lakshmipur,Roypur,247,0,Keroa
Chittagong,Lakshmipur,Roypur,241,0,Keroa
Chittagong,Lakshmipur,Roypur,211,0,Keroa
Chittagong,Lakshmipur,Roypur,241,0,Keroa
Chittagong,Lakshmipur,Roypur,237,0,Keroa
Chittagong,Lakshmipur,Roypur,236,0,Keroa
Chittagong,Lakshmipur,Roypur,230,0,Keroa
Chittagong,Lakshmipur,Roypur,235,0,Keroa
Chittagong,Lakshmipur,Roypur,256,0,Keroa
Chittagong,Lakshmipur,Roypur,254,0,Bamni
Chittagong,Lakshmipur,Roypur,244,0,Keroa
Chittagong,Lakshmipur,Roypur,252,0,Keroa
Chittagong,Lakshmipur,Roypur,233,0,Keroa
Chittagong,Lakshmipur,Roypur,249,0,Keroa
Chittagong,Lakshmipur,Roypur,245,0,Keroa
Chittagong,Lakshmipur,Roypur,235,0,Keroa
Chittagong,Lakshmipur,Roypur,244,0,Keroa
Chittagong,Lakshmipur,Roypur,257,0,Keroa
Chittagong,Lakshmipur,Roypur,242,0,Keroa
Chittagong,Lakshmipur,Roypur,237,0,Keroa
Chittagong,Lakshmipur,Roypur,223,0,Keroa
Chittagong,Lakshmipur,Roypur,260,0,Char Pata
Chittagong,Lakshmipur,Roypur,214,0,Keroa
Chittagong,Lakshmipur,Roypur,253,0,Keroa
Chittagong,Lakshmipur,Roypur,234,0,Keroa
Chittagong,Lakshmipur,Roypur,257,0,Keroa
Chittagong,Lakshmipur,Roypur,234,0,Keroa
Chittagong,Lakshmipur,Roypur,250,0,Keroa
Chittagong,Lakshmipur,Roypur,241,0,Keroa
Chittagong,Lakshmipur,Roypur,227,0,Keroa
Chittagong,Lakshmipur,Roypur,252,0,Keroa
Chittagong,Lakshmipur,Roypur,224,0,Keroa
Chittagong,Lakshmipur,Roypur,225,0,Keroa
Chittagong,Lakshmipur,Roypur,259,0,Keroa
Chittagong,Lakshmipur,Roypur,233,0,Bamni
Chittagong,Lakshmipur,Roypur,226,0,Keroa
Chittagong,Lakshmipur,Roypur,241,0,Keroa
Chittagong,Lakshmipur,Roypur,265,0,Keroa
Chittagong,Lakshmipur,Roypur,255,0,Keroa
Chittagong,Lakshmipur,Roypur,256,0,Keroa
Chittagong,Lakshmipur,Roypur,269,0,Keroa
Chittagong,Lakshmipur,Roypur,275,0,Keroa
Chittagong,Lakshmipur,Roypur,248,0,Keroa
Chittagong,Lakshmipur,Roypur,278,0,Keroa
Chittagong,Lakshmipur,Roypur,246,0,Roypur Paurashava
Chittagong,Lakshmipur,Roypur,276,0,Roypur Paurashava
Chittagong,Lakshmipur,Roypur,223,0,Roypur Paurashava
Chittagong,Lakshmipur,Roypur,258,0,Bamni
Chittagong,Lakshmipur,Roypur,259,0,Bamni
Chittagong,Lakshmipur,Roypur,254,0,Keroa
Chittagong,Lakshmipur,Roypur,263,0,Bamni
Chittagong,Lakshmipur,Roypur,247,0,Bamni
Chittagong,Lakshmipur,Roypur,237,0,Bamni
Chittagong,Lakshmipur,Roypur,249,0,Bamni
Chittagong,Lakshmipur,Roypur,263,0,Bamni
Chittagong,Lakshmipur,Roypur,234,0,Bamni
Chittagong,Lakshmipur,Roypur,254,0,Bamni
Chittagong,Lakshmipur,Roypur,252,0,Bamni
